prices,house_types,ownership,new,noBed,Latitude,Longitude
13.096019402064726,1,1,1,4.0,51.389438,-2.4010290000000003
13.907177746490097,1,2,1,3.0,51.371790000000004,-2.3557650000000003
14.038654109278484,2,1,1,4.0,51.398876,-2.345813
13.087771932634709,1,1,1,2.0,51.373937,-2.390161
12.560244459250788,1,1,1,3.0,51.391557,-2.357485
12.429216196844383,1,1,1,2.0,51.358791,-2.383182
12.495003937382387,3,1,1,2.0,51.397892999999996,-2.394793
13.14215620073088,2,1,2,3.0,51.386963,-2.351342
12.841325847671216,3,2,1,5.0,51.384857000000004,-2.363857
12.437184366493561,1,1,1,3.0,51.371595,-2.39685
12.043553716032399,3,1,1,3.0,51.373490999999994,-2.386307
12.358793732547838,3,1,1,2.0,51.393907,-2.395807
12.965709567358951,3,1,1,1.0,51.385571,-2.3625689999999997
12.762827201184564,3,1,1,4.0,51.393167,-2.399222
13.122363377404328,1,1,1,3.0,51.384208,-2.355459
12.80902155817197,3,1,1,3.0,51.361483,-2.355511
13.815510557964274,4,2,1,1.0,51.369862,-2.396232
12.66032791780777,3,1,1,3.0,51.361723,-2.353488
12.65714826489039,3,1,2,3.0,51.369191,-2.3896610000000003
12.506177237980511,1,1,1,3.0,51.389454,-2.344303
11.884489021402711,4,2,1,3.0,51.373389,-2.3926279999999998
13.815510557964274,3,1,2,4.0,51.374364,-2.391501
13.180632285528304,2,1,2,3.0,51.352335,-2.3777150000000002
12.577463773304586,3,1,1,3.0,51.392385,-2.357161
12.388394202324129,3,1,1,3.0,51.350889,-2.3629119999999997
13.758940206475879,3,1,2,3.0,51.40017,-2.394352
12.829333698625952,2,1,1,2.0,51.381276,-2.343841
13.17115354157376,2,1,1,6.0,51.375924,-2.370869
13.071070083016778,4,2,1,4.0,51.376306,-2.3608290000000003
12.80765263256463,4,2,1,2.0,51.374364,-2.391501
12.479909311159902,1,1,1,3.0,51.400316,-2.295814
12.396693005138824,1,1,1,3.0,51.397838,-2.301562
12.702292116906802,1,1,1,5.0,51.404947,-2.3230720000000002
12.468436909997665,1,1,1,2.0,51.372626000000004,-2.373098
13.132313708257497,2,1,1,3.0,51.393766,-2.3701939999999997
12.751299696013497,3,1,1,5.0,51.375617999999996,-2.373812
13.592367006650065,3,1,1,2.0,51.381027,-2.3804939999999997
12.429216196844383,3,1,1,3.0,51.397396,-2.314637
12.936033799212835,3,1,1,2.0,51.378682,-2.3532740000000003
12.560244459250788,4,2,1,3.0,51.395386,-2.378227
12.367340793126296,4,2,1,2.0,51.397578,-2.395049
12.496874845318198,3,1,1,2.0,51.387651,-2.3469349999999998
13.217673557208654,2,1,1,3.0,51.39485,-2.341701
12.136186518066006,1,1,1,3.0,51.378724,-2.405217
12.598114733306197,1,2,1,2.0,51.349213,-2.3642060000000003
12.676076274775909,1,1,1,3.0,51.380206,-2.3859169999999996
12.577636201962656,3,1,1,3.0,51.397396,-2.314637
12.714395139078047,3,2,1,3.0,51.362715,-2.350668
12.751299696013497,3,1,1,6.0,51.369766,-2.367687
12.946818804889398,2,1,1,3.0,51.3974,-2.342034
14.115615150414612,2,1,2,3.0,51.408471999999996,-2.3734599999999997
13.422467969854667,4,2,1,2.0,51.379507000000004,-2.377881
11.77528972943772,4,2,1,3.0,51.385869,-2.379356
13.188151117942333,3,2,1,3.0,51.383045,-2.3757099999999998
12.86099861326992,3,2,1,3.0,51.385626,-2.379239
12.611537753638338,3,2,1,2.0,51.371462,-2.3855150000000003
12.542544882151386,3,1,1,3.0,51.397714,-2.397263
12.634603026569334,3,1,2,3.0,51.390595000000005,-2.369205
12.943236711506893,3,1,1,3.0,51.393278,-2.3224299999999998
12.62313688948169,3,1,1,1.0,51.379712,-2.389406
13.122363377404328,4,2,1,4.0,51.358698,-2.367225
13.112313041550827,4,2,1,3.0,51.363969,-2.380769
12.691580461311874,3,1,1,3.0,51.369381,-2.386531
12.043553716032399,4,2,1,2.0,51.372509,-2.3498229999999998
11.84939770159144,4,2,1,3.0,51.405632000000004,-2.311559
13.132313708257497,1,1,1,3.0,51.382585999999996,-2.373911
12.779873068457553,1,1,1,4.0,51.395472,-2.347426
12.66032791780777,3,1,1,3.0,51.361289,-2.354074
12.42420365502084,4,2,1,2.0,51.402317,-2.340333
12.301382825334498,4,2,1,2.0,51.378333000000005,-2.379538
12.86099861326992,3,1,1,5.0,51.359873,-2.356707
12.301382825334498,3,1,1,5.0,51.353035,-2.363848
12.237571312589544,4,2,1,3.0,51.396839,-2.3443169999999998
13.737549016494562,2,1,1,3.0,51.370132,-2.3741689999999998
13.091904169919621,3,1,1,2.0,51.377573999999996,-2.3695459999999997
12.468436909997665,1,1,1,4.0,51.381273,-2.3479360000000002
13.081541382884074,3,2,1,3.0,51.374994,-2.363649
12.745485726148077,3,2,1,2.0,51.381027,-2.3804939999999997
12.560244459250788,4,2,1,3.0,51.385538000000004,-2.358876
12.36946619243861,3,1,1,3.0,51.372336,-2.393165
13.473020249017498,3,1,1,2.0,51.385377000000005,-2.3839069999999998
14.403297222866392,3,1,1,3.0,51.379272,-2.3584389999999997
13.737549016494562,1,1,1,3.0,51.385046,-2.352132
12.487485104968359,4,2,1,3.0,51.385046,-2.352132
12.765688433465597,4,2,1,3.0,51.38404,-2.353703
12.758519943986984,4,2,1,2.0,51.393283000000004,-2.320302
13.017002861746503,4,2,2,4.0,51.393644,-2.348217
12.556729517143344,1,2,1,2.0,51.399468,-2.349325
12.487485104968359,3,1,1,3.0,51.393127,-2.369397
12.375815420117268,1,1,1,3.0,51.403395,-2.34083
13.038981768465277,1,1,1,3.0,51.372377,-2.351805
12.86099861326992,1,1,1,3.0,51.361336,-2.356386
13.58609739363647,3,1,1,3.0,51.405632000000004,-2.311559
12.624782980388359,3,1,1,3.0,51.363646,-2.380709
12.666657052859417,4,2,1,3.0,51.382324,-2.367528
12.570715759118084,4,2,1,3.0,51.403839000000005,-2.323668
12.691580461311874,1,1,1,3.0,51.370922,-2.388441
12.546109948315882,3,1,1,3.0,51.387681,-2.380449
12.388394202324129,3,1,1,1.0,51.387507,-2.35869
12.936033799212835,4,2,1,3.0,51.37787,-2.405123
12.506177237980511,4,2,1,3.0,51.361289,-2.354074
12.86099861326992,1,1,1,2.0,51.396969,-2.342708
13.081541382884074,2,1,1,3.0,51.383338,-2.369377
12.86099861326992,3,2,1,6.0,51.396558,-2.36865
13.337474757021274,2,1,1,3.0,51.350889,-2.3629119999999997
13.840203170554645,1,1,1,3.0,51.361512,-2.354636
13.091904169919621,1,1,2,4.0,51.391657,-2.360131
13.813508555293602,1,1,1,2.0,51.371168,-2.379033
12.254862809699606,4,2,1,3.0,51.386544,-2.361095
12.706847933442663,3,1,1,4.0,51.363756,-2.368659
13.997832114758229,1,1,1,2.0,51.400197999999996,-2.354462
12.80765263256463,3,2,1,3.0,51.392641,-2.367598
13.086736199761178,3,1,1,3.0,51.407897999999996,-2.370192
13.226723392728571,2,1,1,3.0,51.376212,-2.376532
13.060487973686241,2,1,1,3.0,51.390853,-2.355425
11.84939770159144,4,2,1,3.0,51.373647,-2.396207
12.611537753638338,1,1,1,3.0,51.373647,-2.396207
11.918390573078392,4,2,1,1.0,51.379712,-2.389406
13.422467969854667,3,1,1,3.0,51.362594,-2.377914
12.983101310070822,2,1,1,3.0,51.361723,-2.353488
12.380025952653611,4,2,1,3.0,51.361723,-2.353488
12.765688433465597,1,1,1,3.0,51.352335,-2.3777150000000002
13.102160670086809,2,1,2,3.0,51.395329,-2.35625
13.180632285528304,2,1,2,3.0,51.376399,-2.3629130000000003
12.223421283864786,3,2,1,3.0,51.387384999999995,-2.3692509999999998
12.721885810807203,3,1,1,3.0,51.373664,-2.369098
13.17115354157376,2,1,1,3.0,51.394073999999996,-2.345863
12.793859310432293,3,2,1,3.0,51.393927000000005,-2.353063
12.206072645530174,4,2,1,2.0,51.391856,-2.368583
12.468436909997665,2,1,1,2.0,51.394265000000004,-2.356989
13.38472764187182,3,1,1,3.0,51.388444,-2.3936610000000003
12.308177868467327,4,2,1,3.0,51.384484,-2.373855
12.854483932248728,4,2,1,2.0,51.375857,-2.383425
13.102160670086809,1,1,1,3.0,51.387595000000005,-2.356535
12.86099861326992,3,1,1,4.0,51.366487,-2.37243
12.751299696013497,3,1,1,3.0,51.397317,-2.346664
13.422467969854667,2,1,2,2.0,51.373059999999995,-2.366708
12.736700896592344,3,1,1,2.0,51.371168,-2.379033
12.524526376648708,4,2,1,4.0,51.394412,-2.384558
13.473020249017498,1,1,1,1.0,51.396674,-2.391232
12.4130868149145,1,1,1,3.0,51.403805,-2.4014849999999996
12.524526376648708,3,1,1,3.0,51.361446,-2.361716
12.301382825334498,3,1,1,3.0,51.397352000000005,-2.392632
12.66032791780777,3,2,1,2.0,51.375327,-2.37753
12.886641043883259,3,1,1,3.0,51.39537,-2.345341
12.86099861326992,3,1,1,2.0,51.362262,-2.357602
12.721885810807203,3,1,1,2.0,51.363448999999996,-2.38312
12.487485104968359,4,2,1,3.0,51.392247,-2.363008
12.254862809699606,3,1,1,4.0,51.386649,-2.365768
12.028738630247258,4,2,1,2.0,51.392475,-2.35446
12.016726473799254,4,2,1,5.0,51.384313,-2.387476
12.326075437924871,3,1,1,3.0,51.400251000000004,-2.34292
12.245293358683455,3,1,1,4.0,51.387002,-2.400921
11.998433280751929,3,1,1,3.0,51.378308000000004,-2.395314
12.449018824140563,4,2,1,3.0,51.396568,-2.359537
12.829333698625952,1,2,1,4.0,51.380998,-2.383079
12.89921982609012,1,1,1,2.0,51.392134000000006,-2.326259
12.628067055589549,1,1,1,4.0,51.378558,-2.3930029999999998
12.587927887999204,3,1,1,3.0,51.377573999999996,-2.3695459999999997
12.42919619664438,4,2,1,2.0,51.394995,-2.3225849999999997
12.793859310432293,1,1,1,3.0,51.375985,-2.35406
12.644327576461329,3,1,1,3.0,51.386804999999995,-2.3620330000000003
12.524526376648708,3,1,1,2.0,51.376501,-2.405815
12.89921982609012,1,1,1,3.0,51.40128,-2.347599
12.542544882151386,4,2,1,3.0,51.358129999999996,-2.379112
12.468436909997665,4,2,1,4.0,51.402189,-2.373669
12.323855681186558,4,2,1,5.0,51.395897,-2.3718630000000003
12.043553716032399,4,2,1,3.0,51.408471999999996,-2.3734599999999997
12.072541252905651,4,2,1,3.0,51.386993,-2.359117
14.038654109278484,2,1,1,3.0,51.390163,-2.3576610000000002
13.112313041550827,4,1,1,3.0,51.387667,-2.4008700000000003
12.419165860990882,3,1,1,2.0,51.397723,-2.346437
13.279367126213993,4,2,2,1.0,51.375896999999995,-2.3794169999999997
12.676076274775909,3,1,1,3.0,51.389454,-2.344303
12.396693005138824,3,1,1,3.0,51.366535,-2.365636
12.86099861326992,3,1,1,2.0,51.374919,-2.397784
